"","Station","percentNatural","percentNot"
"77","SNA18",0.860858658697343,0.138581642427114
"78","SNA19",0.856405166194344,0.142889345170126
"79","SNA2",0.891800677327434,0.108017565479409
"80","SNA20",0.848749245043813,0.150416603781595
"81","SNA21",0.852507309767227,0.146784393678821
"82","SNA22",0.869841500529683,0.129773514279199
"83","SNA23",0.873925901009395,0.125718846797386
"84","SNA3",0.888993534153789,0.110754614849523
"85","SNA4",0.902035397624872,0.0978297922159768
"86","SNA5",0.883363002478258,0.116342812159008
"87","SNA6",0.879078220182892,0.120476345450118
"88","SNA7",0.886606247825408,0.113125762473692
"89","SNA8",0.891224469637714,0.108558005552246
"90","SNA9",0.897282475796063,0.102533342339112
"91","ZAB1",0.999094371025955,0.00090517181597229
"92","ZAB10",0.99906176062508,0.000937782205556816
"93","ZAB11",0.999038423878078,0.000960661632296801
"94","ZAB12",0.999043970933242,0.000953744657722532
"95","ZAB13",0.999097570606843,0.000894662316692266
"96","ZAB14",0.99891395094529,0.00108422021958117
"97","ZAB15",0.998874340483494,0.00112383053974065
"98","ZAB16",0.998882328315848,0.00111401524772946
"99","ZAB17",0.998951209664319,0.00104513428343283
"100","ZAB18",0.998865578584812,0.00113076570750582
"101","ZAB19",0.9987939259452,0.00120378980500626
"102","ZAB2",0.999117778125258,0.000881764897830935
"103","ZAB20",0.998775244442657,0.00122292654526023
"104","ZAB21",0.998922961419738,0.00107338136975724
"105","ZAB22",0.99898542477612,0.00100947332240099
"106","ZAB23",0.99886289301873,0.00113527849649247
"107","ZAB24",0.998796234954442,0.00120193619203627
"108","ZAB25",0.998843382984223,0.0011547883648052
"109","ZAB26",0.998903523533321,0.00109373420804571
"110","ZAB27",0.998769096532679,0.00122907514503498
"111","ZAB28",0.998852827982674,0.00114534384816459
"112","ZAB29",0.998889571603588,0.00110814256886919
"113","ZAB3",0.999192630449112,0.000805082832504098
"114","ZAB30",0.998962112779783,0.00103423163253745
"115","ZAB4",0.999191434220526,0.000801251859350932
"116","ZAB5",0.999090039979312,0.000909502753911458
"117","ZAB6",0.999085295992684,0.000912418352552833
"118","ZAB7",0.999084734165694,0.000907949895360939
"119","ZAB8",0.99908306598749,0.000914647357107179
"120","ZAB9",0.99908651287221,0.000905717150941252
