"","Community","Station","Camera","gps_y","gps_x","Setup_date","Retrieval_date","Problem1_from","Problem1_to","Problem2_from","Problem2_to","Problem3_from","Problem3_to","Total","Obs"
"37","Zabalo","7","7B",-0.3110146,-75.625574,"2018-07-04","2018-07-22",NA,NA,NA,NA,NA,NA,18,NA
"38","Zabalo","8","8A",-0.311621,-75.647736,"2018-07-05","2018-09-28","2018-07-17","2018-08-11",NA,NA,NA,NA,60,NA
"39","Zabalo","8","8B",-0.311621,-75.647736,"2018-07-05","2018-09-28",NA,NA,NA,NA,NA,NA,85,NA
"40","Zabalo","9","9A",-0.2948174,-75.638389,"2018-07-05","2018-09-28",NA,NA,NA,NA,NA,NA,85,NA
"41","Zabalo","9","9B",-0.2948174,-75.638389,"2018-07-05","2018-09-27",NA,NA,NA,NA,NA,NA,84,NA
"42","Zabalo","10","10A",-0.347342,-75.668265,"2018-07-03","2018-07-21",NA,NA,NA,NA,NA,NA,18,NA
"43","Zabalo","10","10B",-0.347342,-75.668265,"2018-07-03","2018-09-28",NA,NA,NA,NA,NA,NA,87,NA
"44","Zabalo","11","11A",-0.3266499,-75.665595,"2018-07-03","2018-07-29",NA,NA,NA,NA,NA,NA,26,NA
"45","Zabalo","11","11B",-0.3266499,-75.665595,"2018-07-03","2018-07-04",NA,NA,NA,NA,NA,NA,1,NA
"46","Zabalo","12","12A",-0.3056427,-75.664788,"2018-07-04","2018-09-28","2018-07-30","2018-08-09",NA,NA,NA,NA,76,NA
"47","Zabalo","12","12B",-0.3056427,-75.664788,"2018-07-04","2018-07-20",NA,NA,NA,NA,NA,NA,16,NA
"48","Zabalo","13","13A",-0.2879286,-75.65523,"2018-07-04","2018-08-17","2018-07-22","2018-07-27",NA,NA,NA,NA,39,NA
"49","Zabalo","13","13B",-0.2879286,-75.65523,"2018-07-04","2018-09-24","2018-07-21","2018-07-28","2018-08-04","2018-08-10","2018-08-23","2018-08-31",61,NA
"50","Zabalo","14","14A",-0.3474509,-75.68842,"2018-07-05","2018-08-17",NA,NA,NA,NA,NA,NA,43,NA
"51","Zabalo","14","14B",-0.3474509,-75.68842,"2018-07-05","2018-07-05",NA,NA,NA,NA,NA,NA,0,NA
"52","Zabalo","15","15A",-0.3279468,-75.685591,"2018-07-05","2018-09-09","2018-08-02","2018-08-22",NA,NA,NA,NA,46,NA
"53","Zabalo","15","15B",-0.3279468,-75.685591,"2018-07-05","2018-09-25","2018-08-10","2018-08-22",NA,NA,NA,NA,70,NA
"54","Zabalo","16","16A",-0.3108065,-75.681072,"2018-07-05","2018-09-29","2018-08-29","2018-09-23",NA,NA,NA,NA,61,NA
"55","Zabalo","16","16B",-0.3108065,-75.681072,"2018-07-05","2018-09-01",NA,NA,NA,NA,NA,NA,58,NA
"56","Zabalo","17","17A",-0.2913461,-75.675559,"2018-07-05","2018-09-28","2018-07-18","2018-07-31","2018-08-13","2018-08-18",NA,NA,67,NA
"57","Zabalo","17","17B",-0.2913461,-75.675559,"2018-07-05","2018-09-28","2018-07-05","2018-07-14",NA,NA,NA,NA,76,NA
"58","Zabalo","18","18A",-0.2913924,-75.693832,"2018-07-08","2018-09-18",NA,NA,NA,NA,NA,NA,72,NA
"59","Zabalo","18","18B",-0.2913924,-75.693832,"2018-07-08","2018-09-18","2018-07-19","2018-08-10",NA,NA,NA,NA,50,NA
"60","Zabalo","19","19A",-0.3105419,-75.699043,"2018-07-06","2018-08-06",NA,NA,NA,NA,NA,NA,31,NA
"61","Zabalo","19","19B",-0.3105419,-75.699043,"2018-07-06","2018-07-06",NA,NA,NA,NA,NA,NA,0,NA
"62","Zabalo","20","20A",-0.3329209,-75.703019,"2018-07-06","2018-07-06",NA,NA,NA,NA,NA,NA,0,NA
"63","Zabalo","20","20B",-0.3329209,-75.703019,"2018-07-08","2018-09-03",NA,NA,NA,NA,NA,NA,57,NA
"64","Zabalo","21","21A",-0.2704756,-75.695876,"2018-07-06","2018-08-30","2018-07-28","2018-08-06",NA,NA,NA,NA,46,NA
"65","Zabalo","21","21B",-0.2704756,-75.695876,"2018-07-06","2018-10-02","2018-07-28","2018-08-06",NA,NA,NA,NA,79,NA
"66","Zabalo","22","22A",-0.2720679,-75.676593,"2018-07-06","2018-10-02",NA,NA,NA,NA,NA,NA,88,NA
"67","Zabalo","22","22B",-0.2720679,-75.676593,"2018-07-06","2018-07-15",NA,NA,NA,NA,NA,NA,9,NA
"68","Zabalo","23","23A",-0.3137281,-75.720214,"2018-07-06","2018-07-06",NA,NA,NA,NA,NA,NA,0,NA
"69","Zabalo","23","23B",-0.3137281,-75.720214,"2018-07-06","2018-08-30",NA,NA,NA,NA,NA,NA,55,NA
"70","Zabalo","24","24A",-0.3174331,-75.735311,"2018-07-14","2018-08-23",NA,NA,NA,NA,NA,NA,40,NA
"71","Zabalo","24","24B",-0.3174331,-75.735311,"2018-07-06","2018-10-09",NA,NA,NA,NA,NA,NA,95,NA
"72","Zabalo","25","25A",-0.3002043,-75.724032,"2018-07-08","2018-09-30",NA,NA,NA,NA,NA,NA,84,NA
"73","Zabalo","25","25B",-0.3002043,-75.724032,"2018-07-06","2018-07-06",NA,NA,NA,NA,NA,NA,0,NA
"74","Zabalo","26","26A",-0.2845973,-75.71331,"2018-07-06","2018-10-04","2018-08-13","2018-08-24","2018-08-31","2018-09-29",NA,NA,50,NA
"75","Zabalo","26","26B",-0.2845973,-75.71331,"2018-07-06","2018-09-28","2018-07-27","2018-08-24",NA,NA,NA,NA,56,NA
"76","Zabalo","27","27A",-0.3111467,-75.754517,"2018-07-06","2018-07-14",NA,NA,NA,NA,NA,NA,8,NA
"77","Zabalo","27","27B",-0.3111467,-75.754517,"2018-07-06","2018-07-25","2018-07-14","2018-07-25",NA,NA,NA,NA,8,NA
"78","Zabalo","28","28A",-0.2961788,-75.742542,"2018-07-06","2018-09-27",NA,NA,NA,NA,NA,NA,83,NA
"79","Zabalo","28","28B",-0.2961788,-75.742542,"2018-07-05","2018-07-05",NA,NA,NA,NA,NA,NA,0,NA
"80","Zabalo","29","29A",-0.2737222,-75.732679,"2018-07-06","2018-09-27",NA,NA,NA,NA,NA,NA,83,NA
"81","Zabalo","29","29B",-0.2737222,-75.732679,"2018-07-06","2018-07-14",NA,NA,NA,NA,NA,NA,8,NA
"82","Zabalo","30","30A",-0.2646804,-75.716577,"2018-07-06","2018-07-14",NA,NA,NA,NA,NA,NA,8,NA
"83","Zabalo","30","30B",-0.2646804,-75.716577,"2018-07-06","2018-09-27",NA,NA,NA,NA,NA,NA,83,NA
"84","Sinangoe","SGE1","SGE1",0.098522,-77.400573,"2022-08-06","2022-12-01","2022-11-19","2022-12-01",NA,NA,NA,NA,NA,"No funciona al retirar"
"85","Sinangoe","SGE10","SGE10",0.092618,-77.462402,"2022-08-06","2022-11-30",NA,NA,NA,NA,NA,NA,NA,""
"86","Sinangoe","SGE11","SGE11",0.035216,-77.424898,"2022-08-08","2022-12-01",NA,NA,NA,NA,NA,NA,NA,""
"87","Sinangoe","SGE12","SGE12",0.133207,-77.449472,"2022-08-07","2022-11-30",NA,NA,NA,NA,NA,NA,NA,""
"88","Sinangoe","SGE13","SGE13",0.118916,-77.464612,"2022-08-07","2022-11-30",NA,NA,NA,NA,NA,NA,NA,""
"89","Sinangoe","SGE14","SGE14",0.10723,-77.47791,"2022-08-07","2022-11-30",NA,NA,NA,NA,NA,NA,NA,""
"90","Sinangoe","SGE15","SGE15",0.14866,-77.460674,"2022-08-07","2022-11-29",NA,NA,NA,NA,NA,NA,NA,""
"91","Sinangoe","SGE16","SGE16",0.135232,-77.475584,"2022-08-07","2022-11-29",NA,NA,NA,NA,NA,NA,NA,""
"92","Sinangoe","SGE17","SGE17",0.125354,-77.494292,"2022-08-07","2022-11-29",NA,NA,NA,NA,NA,NA,NA,""
"93","Sinangoe","SGE18","SGE18",0.165074,-77.471737,"2022-08-07","2022-12-01",NA,NA,NA,NA,NA,NA,NA,""
"94","Sinangoe","SGE19","SGE19",0.154599,-77.489609,"2022-08-07","2022-11-29",NA,NA,NA,NA,NA,NA,NA,""
"95","Sinangoe","SGE2","SGE2",0.085779,-77.415687,"2022-08-06","2022-11-24","2022-08-06","2022-11-24",NA,NA,NA,NA,NA,"Robada"
"96","Sinangoe","SGE20","SGE20",0.142295,-77.500417,"2022-08-05","2022-11-29",NA,NA,NA,NA,NA,NA,NA,""
"97","Sinangoe","SGE21","SGE21",0.14781,-77.517342,"2022-08-08","2022-11-29",NA,NA,NA,NA,NA,NA,NA,""
"98","Sinangoe","SGE22","SGE22",0.176118,-77.493863,"2022-08-05","2022-11-29",NA,NA,NA,NA,NA,NA,NA,""
"99","Sinangoe","SGE23","SGE23",0.159729,-77.50468,"2022-08-05","2022-11-29",NA,NA,NA,NA,NA,NA,NA,"No funciona al retirar"
"100","Sinangoe","SGE24","SGE24",0.185664,-77.503586,"2022-08-02","2022-11-28","2022-11-22","2022-11-28",NA,NA,NA,NA,NA,""
"101","Sinangoe","SGE25","SGE25",0.173697,-77.519313,"2022-08-05","2022-11-28",NA,NA,NA,NA,NA,NA,NA,""
"102","Sinangoe","SGE26","SGE26",0.159551,-77.533424,"2022-08-05","2022-11-28",NA,NA,NA,NA,NA,NA,NA,""
"103","Sinangoe","SGE27","SGE27",0.199143,-77.508259,"2022-08-04","2022-11-28","2022-10-31","2022-11-28",NA,NA,NA,NA,NA,"No funciona al retirar"
"104","Sinangoe","SGE28","SGE28",0.195626,-77.525645,"2022-08-04","2022-11-28",NA,NA,NA,NA,NA,NA,NA,""
"105","Sinangoe","SGE29","SGE29",0.221652,-77.5172,"2022-08-04","2022-11-28",NA,NA,NA,NA,NA,NA,NA,""
"106","Sinangoe","SGE3","SGE3",0.085066,-77.444334,"2022-08-10","2022-12-01",NA,NA,NA,NA,NA,NA,NA,""
"107","Sinangoe","SGE30","SGE30",0.221511,-77.536142,"2022-08-04","2022-11-28",NA,NA,NA,NA,NA,NA,NA,""
"108","Sinangoe","SGE4","SGE4",0.076542,-77.430379,"2022-08-06","2022-12-01",NA,NA,NA,NA,NA,NA,NA,""
"109","Sinangoe","SGE5","SGE5",0.110194,-77.417214,"2022-08-06","2022-11-30",NA,NA,NA,NA,NA,NA,NA,""
"110","Sinangoe","SGE6","SGE6",0.097659,-77.432182,"2022-08-06","2022-11-30",NA,NA,NA,NA,NA,NA,NA,""
"111","Sinangoe","SGE7","SGE7",0.034581,-77.439202,"2022-08-08","2022-11-30",NA,NA,NA,NA,NA,NA,NA,""
"112","Sinangoe","SGE8","SGE8",0.120646,-77.434462,"2022-08-03","2022-11-30",NA,NA,NA,NA,NA,NA,NA,""
"113","Sinangoe","SGE9","SGE9",0.106699,-77.4491,"2022-08-06","2022-11-30",NA,NA,NA,NA,NA,NA,NA,""
"114","Siekopai","SKP1","75",-0.307,-76.242,"2022-07-14","2022-11-22","2022-07-30","2022-09-20",NA,NA,NA,NA,52,"No funciona, se  cambia, tampoco funciona"
"115","Siekopai","SKP10","35",-0.373,-76.275,"2022-07-16","2022-11-19","2022-08-09","2022-11-19",NA,NA,NA,NA,102,"Pantalla negra"
"116","Siekopai","SKP11","36",-0.303,-76.303,"2022-07-18","2022-11-16","2022-08-01","2022-11-06",NA,NA,NA,NA,97,"No funciona, se  cambia, tampoco funciona"
"117","Siekopai","SKP12","37",-0.321,-76.301,"2022-07-18","2022-11-16",NA,NA,NA,NA,NA,NA,0,""
"118","Siekopai","SKP13","38",-0.342,-76.297,"2022-07-18","2022-11-16","2022-08-07","2022-11-16",NA,NA,NA,NA,101,"Sin problemas / Posible no laprendieron en la revisión"
"119","Siekopai","SKP14","39",-0.313,-76.32,"2022-07-16","2022-11-17","2022-08-09","2022-09-28",NA,NA,NA,NA,50,""
"120","Siekopai","SKP15","40",-0.373,-76.294,"2022-07-16","2022-11-19","2022-08-11","2022-11-19",NA,NA,NA,NA,100,"Con bateria pero pantalla negra al retirar"
"121","Siekopai","SKP16","41",-0.316,-76.342,"2022-07-14","2022-11-16",NA,NA,NA,NA,NA,NA,0,""
"122","Siekopai","SKP17","42",-0.336,-76.339,"2022-07-18","2022-11-17",NA,NA,NA,NA,NA,NA,0,""
"123","Siekopai","SKP18","43",-0.351,-76.328,"2022-07-18","2022-11-17","2022-10-16","2022-11-17",NA,NA,NA,NA,32,"No funciona al retirar"
"124","Siekopai","SKP19","44",-0.317,-76.361,"2022-07-14","2022-11-16",NA,NA,NA,NA,NA,NA,0,""
"125","Siekopai","SKP2","45",-0.298839,-76.265275,"2022-07-20","2022-11-24","2022-08-18","2022-11-24",NA,NA,NA,NA,98,""
"126","Siekopai","SKP20","46",-0.32,-76.387,"2022-07-14","2022-11-16","2022-10-19","2022-11-16",NA,NA,NA,NA,28,"No funciona al retirar"
"127","Siekopai","SKP21","47",-0.347,-76.404,"2022-07-19","2022-11-17",NA,NA,NA,NA,NA,NA,0,""
"128","Siekopai","SKP22","48",-0.347,-76.387,"2022-07-19","2022-11-17",NA,NA,NA,NA,NA,NA,0,""
"129","Siekopai","SKP23","49",-0.363,-76.406,"2022-07-19","2022-11-17",NA,NA,NA,NA,NA,NA,0,""
"130","Siekopai","SKP24","50",-0.362,-76.378,"2022-07-19","2022-11-17",NA,NA,NA,NA,NA,NA,0,""
"131","Siekopai","SKP25","51",-0.384,-76.4,"2022-07-15","2022-11-18","2022-07-15","2022-11-18",NA,NA,NA,NA,126,"Robada"
"132","Siekopai","SKP26","52",-0.385,-76.38,"2022-07-15","2022-11-18",NA,NA,NA,NA,NA,NA,0,""
"133","Siekopai","SKP27","53",-0.389,-76.356,"2022-07-17","2022-11-20",NA,NA,NA,NA,NA,NA,0,"Con bateri / pantalla negra"
"134","Siekopai","SKP28","54",-0.396,-76.29,"2022-07-17","2022-11-20",NA,NA,NA,NA,NA,NA,0,"con batería / panatalla negra"
"135","Siekopai","SKP29","55",-0.397,-76.273,"2022-07-17","2022-11-19",NA,NA,NA,NA,NA,NA,0,""
"136","Siekopai","SKP3","57",-0.319,-76.26,"2022-07-14","2022-11-21","2022-08-08","2022-11-21",NA,NA,NA,NA,105,""
"137","Siekopai","SKP30","58",-0.389,-76.253,"2022-07-17","2022-11-19","2022-07-17","2022-11-19",NA,NA,NA,NA,125,"Pantalla negra-memoria vacia"
"138","Siekopai","SKP31","59",-0.306,-76.422,"2022-07-17","2022-11-15",NA,NA,NA,NA,NA,NA,0,""
"139","Siekopai","SKP32","60",-0.293,-76.442,"2022-07-17","2022-11-16","2022-07-17","2022-08-25",NA,NA,NA,NA,39,""
"140","Siekopai","SKP33","61",-0.283,-76.461,"2022-07-21","2022-11-15",NA,NA,NA,NA,NA,NA,0,""
"141","Siekopai","SKP34","62",-0.274,-76.438,"2022-07-21","2022-11-15",NA,NA,NA,NA,NA,NA,0,""
"142","Siekopai","SKP35","63",-0.276,-76.41,"2022-07-21","2022-11-16","2022-10-26","2022-11-16",NA,NA,NA,NA,21,"No funsiona al retirar"
"143","Siekopai","SKP36","64",-0.256,-76.415,"2022-07-21","2022-11-16","2022-07-21","2022-11-16",NA,NA,NA,NA,118,"Robada"
"144","Siekopai","SKP37","65",-0.254,-76.434,"2022-07-21","2022-11-16","2022-10-20","2022-11-16",NA,NA,NA,NA,27,"No funsiona al retirar"
"145","Siekopai","SKP4","66",-0.343,-76.255,"2022-07-16","2022-11-21","2022-08-06","2022-11-21",NA,NA,NA,NA,107,"Se enciontro 50 m alejado del sitio que se coloco"
"146","Siekopai","SKP5","67",-0.365,-76.255,"2022-07-16","2022-11-19","2022-08-08","2022-11-19",NA,NA,NA,NA,103,""
"147","Siekopai","SKP6","68",-0.298,-76.285,"2022-07-14","2022-11-17",NA,NA,NA,NA,NA,NA,0,""
"148","Siekopai","SKP7","69",-0.316,-76.281,"2022-07-14","2022-11-17",NA,NA,NA,NA,NA,NA,0,""
"149","Siekopai","SKP8","70",-0.336,-76.277,"2022-07-14","2022-11-17",NA,NA,NA,NA,NA,NA,0,""
"150","Siekopai","SKP9","77",-0.354128,-76.27821,"2022-07-25","2022-11-14","2022-09-05","2022-11-14",NA,NA,NA,NA,70,""
