fid,natArea10KM,Station,natArea20KM,natArea2KM,natArea30KM,natArea40KM,natArea50KM
74,0.9980490707220727,ZAB30,0.9987770021613976,1,0.9990483652693039,0.9954200019322456,0.9899630502154716
75,0.9980490707220727,ZAB30,0.9987770021613976,1,0.9990483652693039,0.9954200019322456,0.9899630502154716
76,0.9643166943815734,SGE1,0.9786923936582894,0.8850168309398687,0.9660855205317329,0.9317357863175778,0.9147505911486274
77,0.97878820947305,SGE10,0.9781479069593247,1,0.939139492997654,0.9221671453797593,0.9115217818661984
78,0.9611187911745203,SGE11,0.9720088594342062,1,0.9574593978749087,0.9387004120029301,0.9295479929847154
79,0.9753777489934173,SGE12,0.9800743676974062,0.9374253140845525,0.9413394529291155,0.9131640610528282,0.8999608879537377
80,0.9762112239010674,SGE13,0.9779313054635221,1,0.9362312405179521,0.9143889478942836,0.9039940131303911
81,0.9791449338952456,SGE14,0.9746821567894668,1,0.930581235045144,0.9154429494309252,0.9061557877644719
82,0.976428145717387,SGE15,0.9783771318836513,0.933213346031541,0.9373315435918029,0.9071275470864768,0.89453900718837
83,0.9778269536372952,SGE16,0.9761137224698156,1,0.9323181001115793,0.9084165689353186,0.8986386844912622
84,0.9802454124011916,SGE17,0.9729263610193067,1,0.9224108377346144,0.9075799567498218,0.899206610306915
85,0.9787468702428094,SGE18,0.9709007800811924,0.9433781035095082,0.9338568857544398,0.8983199717831762,0.8885545328096907
86,0.9806742617845675,SGE19,0.9696277305378549,1,0.9274079252276313,0.8993481349539497,0.890696439173037
87,0.9661633296497496,SGE2,0.9779782999277569,0.9995401223113292,0.9615871908087789,0.931018641376741,0.9178946155901899
88,0.9826861338285041,SGE20,0.9701944917035885,1,0.9216034111515862,0.9014524976060504,0.8930112713805194
89,0.9845954352324731,SGE21,0.9621943967356792,1,0.9102008634448879,0.8968207519440644,0.8846211196213323
90,0.9832703408310878,SGE22,0.958894641173437,0.9509701058884298,0.9258951531730317,0.8907896808185595,0.8815486768077743
91,0.9835435750750126,SGE23,0.9635537313564156,1,0.919233869440133,0.895777680415547,0.8852715090759867
92,0.9848661354272947,SGE24,0.9498348349523998,0.9287218846088662,0.919741211177838,0.8841357790640394,0.874625654296969
93,0.9843381651840044,SGE25,0.9539528458258794,1,0.9096423951568532,0.8877573256069308,0.8743792430523998
94,0.9868267293691574,SGE26,0.9509890398898992,1,0.8989253927136888,0.8911442847877756,0.8717738500485985
95,0.9845607978519371,SGE27,0.9412727366949903,0.9481194511702986,0.9152030292325201,0.8772977079253662,0.8649494222987465
96,0.9858768554789664,SGE28,0.9406575871208409,0.9981998417798156,0.907393171639862,0.8769265616661582,0.8593580001215625
97,0.9827813615859177,SGE29,0.9261981274251733,0.9999354344053912,0.9050248417911232,0.8687048037874143,0.8451295800929302
98,0.976418947233843,SGE3,0.9783895520835242,1,0.9482217842828322,0.9267925560973787,0.9156637987173198
99,0.9780740558008095,SGE30,0.9256401937725023,0.9991282307928256,0.8992040733054631,0.8661806957799566,0.8344098250210096
100,0.9684557160636716,SGE4,0.9780595176514428,1,0.9559762492084014,0.9296360747476331,0.9200224841083657
101,0.9755146605663163,SGE5,0.9791953404122595,0.8834275104940265,0.9574210890047713,0.9258600098542749,0.9099050636948943
102,0.9759154508060306,SGE6,0.9785060898712533,1,0.9524443362230736,0.9249347350287264,0.9129116193499177
103,0.9651680851599622,SGE7,0.9725693746059224,0.9955680414618198,0.9498678717067383,0.9362837299367304,0.9276013812779494
104,0.9779926275124602,SGE8,0.9793558310977567,0.9492143681453923,0.9478803418509085,0.9192571831393113,0.9049825764385223
105,0.9784870001546467,SGE9,0.9788081638240418,1,0.9442985922099589,0.9198255541685345,0.9081523245744753
106,0.9916656833140209,SKP1,0.978549570974493,0.9904147688338909,0.9683968723150475,0.9650208049201066,0.962052418578556
107,0.9948510031193829,SKP10,0.9761324069054248,1,0.9676975681816277,0.9653365105281825,0.964060225025422
108,0.9725799228314606,SKP11,0.963814337766326,0.9998629827841898,0.9505688180777369,0.9537495771438447,0.9539747610846566
109,0.9769253214981807,SKP12,0.9649051647576238,1,0.9531328137367971,0.9561013932059333,0.9560654550841277
110,0.9844397721487398,SKP13,0.9669152565215643,1,0.9560672440456538,0.9587835731742027,0.9588147000109805
