fid,ag10KM,Station,ag20KM,ag2KM,ag30KM,ag40KM,ag50KM
24,4.547575829457204e-4,ZAB1,1.2899904076603354e-4,3.384285633707485e-4,1.0950944495685729e-4,7.724671344925953e-4,0.002928714963815917
25,4.547575829457204e-4,ZAB1,1.2899904076603354e-4,3.384285633707485e-4,1.0950944495685729e-4,7.724671344925953e-4,0.002928714963815917
26,4.5475597072673613e-4,ZAB2,1.289986769779663e-4,0,1.0223927650546082e-4,0.002000310290522091,0.003354687709936294
27,4.5475597072673613e-4,ZAB2,1.289986769779663e-4,0,1.0223927650546082e-4,0.002000310290522091,0.003354687709936294
28,3.8223921922643934e-4,ZAB3,1.248080944615985e-4,0,9.747601926988456e-5,0.002124606561334735,0.003527949256152388
29,3.8223921922643934e-4,ZAB3,1.248080944615985e-4,0,9.747601926988456e-5,0.002124606561334735,0.003527949256152388
30,3.113305966750795e-4,ZAB4,1.1876483603644196e-4,0,8.354559632522564e-5,0.0024157332567348332,0.0038324975219720925
31,3.113305966750795e-4,ZAB4,1.1876483603644196e-4,0,8.354559632522564e-5,0.0024157332567348332,0.0038324975219720925
32,4.5475509133938104e-4,ZAB5,1.2480963307982232e-4,0,1.1151505775577558e-4,0.001929157205866475,0.003409785581444962
33,4.547590486092624e-4,ZAB6,1.1876606091409741e-4,0,9.292881545304141e-5,0.0022324113781531036,0.0036862628514674673
34,3.7933870660004226e-4,ZAB7,1.1876573555350594e-4,0,8.569473415706516e-5,0.002522209278225979,0.004040225403202294
35,3.7933870660004226e-4,ZAB7,1.1876573555350594e-4,0,8.569473415706516e-5,0.002522209278225979,0.004040225403202294
36,4.547590486092624e-4,ZAB8,1.1876674034931603e-4,0,1.1584840983106437e-4,0.0024039470659477573,0.004054959420883112
37,4.547590486092624e-4,ZAB8,1.1876674034931603e-4,0,1.1584840983106437e-4,0.0024039470659477573,0.004054959420883112
38,4.54116360146181e-4,ZAB9,1.226339187370608e-4,0,9.61520762724823e-5,0.0029862738045396985,0.0044080724848193885
39,4.54116360146181e-4,ZAB9,1.226339187370608e-4,0,9.61520762724823e-5,0.0029862738045396985,0.0044080724848193885
40,4.7507193762311904e-4,ZAB10,1.2481050799729976e-4,2.819783601749877e-4,1.1004740310689639e-4,8.455552520783394e-4,0.0031037627131313243
41,4.7507193762311904e-4,ZAB10,1.2481050799729976e-4,2.819783601749877e-4,1.1004740310689639e-4,8.455552520783394e-4,0.0031037627131313243
42,4.750733156733262e-4,ZAB11,1.1876731452598385e-4,0,1.1699488381050797e-4,0.0020049127513458178,0.003879685203722536
43,4.750733156733262e-4,ZAB11,1.1876731452598385e-4,0,1.1699488381050797e-4,0.0020049127513458178,0.003879685203722536
44,4.54761100554093e-4,ZAB12,1.2102362458503884e-4,0,1.1710261487274115e-4,0.0023616026458361697,0.0043133085092589805
45,4.54761100554093e-4,ZAB12,1.2102362458503884e-4,0,1.1710261487274115e-4,0.0023616026458361697,0.0043133085092589805
46,4.547603677145278e-4,ZAB13,0.00012263490685790191,0,1.1699485029278793e-4,0.003109132302365176,0.004914761585898359
47,4.547603677145278e-4,ZAB13,0.00012263490685790191,0,1.1699485029278793e-4,0.003109132302365176,0.004914761585898359
48,4.750748468495995e-4,ZAB14,1.2102427793749169e-4,0.0017321946503383822,1.1316395053489126e-4,5.793601189975589e-4,0.0031729801537676485
49,4.7507530620440616e-4,ZAB15,1.2924313720150092e-4,0,1.1316410047969403e-4,0.001115472257917894,0.0037602346458202617
50,4.7507530620440616e-4,ZAB15,1.2924313720150092e-4,0,1.1316410047969403e-4,0.001115472257917894,0.0037602346458202617
51,4.7507576556010114e-4,ZAB16,1.2924313720150092e-4,0,1.201112845017337e-4,0.0019665544137599062,0.004321646252829797
52,4.7507576556010114e-4,ZAB16,1.2924313720150092e-4,0,1.201112845017337e-4,0.0019665544137599062,0.004321646252829797
53,4.7249078707425066e-4,ZAB17,1.331107408039776e-4,0,1.2007553334772951e-4,0.002741671214833258,0.005064195026506474
54,4.7249078707425066e-4,ZAB17,1.331107408039776e-4,0,1.2007553334772951e-4,0.002741671214833258,0.005064195026506474
55,4.750800529227576e-4,ZAB18,1.3971899078410636e-4,0,1.201121791887493e-4,0.0024254705551065435,0.005434810355085381
56,4.750800529227576e-4,ZAB18,1.3971899078410636e-4,0,1.201121791887493e-4,0.0024254705551065435,0.005434810355085381
57,4.750806654094541e-4,ZAB19,1.4979105396901573e-4,0,1.1316480563085153e-4,0.0013532615034479675,0.004422113198594583
58,4.750725500888908e-4,ZAB20,1.4979095741239222e-4,0.0018855457607451934,1.1316492720952551e-4,6.279519664789317e-4,0.003657727187351219
59,1.0700519845435504e-4,ZAB21,1.536590432335471e-4,0,1.1825030940433394e-4,0.0032732442523784105,0.006760563728918346
60,1.0700519845435504e-4,ZAB21,1.536590432335471e-4,0,1.1825030940433394e-4,0.0032732442523784105,0.006760563728918346
61,8.669971569583935e-5,ZAB22,1.464060064977838e-4,0,1.2007582145309076e-4,0.00346927847190273,0.006415450475436909
62,8.669971569583935e-5,ZAB22,1.464060064977838e-4,0,1.2007582145309076e-4,0.00346927847190273,0.006415450475436909
63,4.7507974668000157e-4,ZAB23,1.6050918153612606e-4,0,2.753585866057547e-4,7.37623538395645e-4,0.004460056148657554
64,4.747559100342385e-4,ZAB24,1.997511450438268e-4,0,2.9806533643744347e-4,4.190239998156383e-4,0.00446622038971599
65,4.747559100342385e-4,ZAB24,1.997511450438268e-4,0,2.9806533643744347e-4,4.190239998156383e-4,0.00446622038971599
66,4.718534882026959e-4,ZAB25,1.6606938896375844e-4,0,2.8037336320544575e-4,7.589986197900782e-4,0.0051171699421326215
67,4.615483787790885e-4,ZAB26,1.553520597563954e-4,0,1.4854796867457107e-4,0.0021737299494070136,0.006090734774194455
68,4.615483787790885e-4,ZAB26,1.553520597563954e-4,0,1.4854796867457107e-4,0.0021737299494070136,0.006090734774194455
69,2.8556952102964895e-4,ZAB27,2.202198927457408e-4,0,3.0809521520932463e-4,4.596799411680584e-4,0.004877755143983819
70,2.8556952102964895e-4,ZAB27,2.202198927457408e-4,0,3.0809521520932463e-4,4.596799411680584e-4,0.004877755143983819
71,1.263460528139393e-4,ZAB28,2.2013851644044722e-4,0,2.9749365090819363e-4,7.135997211997476e-4,0.005518301003327924
72,1.0700675044994405e-4,ZAB29,1.9975186933987688e-4,0,2.888979494047187e-4,0.0021969561742294624,0.006645839261197814
73,1.0700675044994405e-4,ZAB29,1.9975186933987688e-4,0,2.888979494047187e-4,0.0021969561742294624,0.006645839261197814
74,1.0700619862413234e-4,ZAB30,1.6993691142523968e-4,0,1.4400042344218025e-4,0.00334470656176244,0.006944562714427419
75,1.0700619862413234e-4,ZAB30,1.6993691142523968e-4,0,1.4400042344218025e-4,0.00334470656176244,0.006944562714427419
76,0.018297326552623942,SGE1,0.012762369222457593,0.027970842515680622,0.010748445084176049,0.010343089581811652,0.01583693219685723
77,0.008555099320899845,SGE10,0.011999436931119628,0,0.008698283729189647,0.008170479370721566,0.012417110544474528
78,0.025442891428726393,SGE11,0.014354530395426748,0,0.01002324579746738,0.00957003304243846,0.010434622477760202
79,0.011728371345800506,SGE12,0.011113829358508591,0.005538868972644769,0.008012418842050024,0.008645024842473046,0.01642699485899879
80,0.011189742294985214,SGE13,0.011354706315746652,0,0.008119149497323888,0.008052275663213395,0.014228268762733975
81,0.009293635288499816,SGE14,0.011563915321451259,0,0.008236764919914492,0.007609316078299123,0.013305702382809806
82,0.012094902138546068,SGE15,0.009902951223297905,0.007409081370760763,0.007128342303923682,0.008321800668453658,0.0185966099729294
83,0.011301228112204475,SGE16,0.010376754030458216,0,0.0074185557597232265,0.007768537352087797,0.015952698787180742
84,0.01043796982649232,SGE17,0.009834238677706443,0,0.007436664243899254,0.007031090106528819,0.015645021050926376
85,0.011708318737216627,SGE18,0.007177279696378145,0.014875859619668743,0.006788514802838798,0.008164035653140913,0.020923004616911208
86,0.010401770651547463,SGE19,0.0070500956995885305,0,0.006914590092902226,0.007156629893772943,0.02012593709855711
87,0.01760759470377498,SGE2,0.012809665654756375,4.8408177754828714e-5,0.009950271420931947,0.009863804665541894,0.013590015255482356
88,0.008971903834312794,SGE20,0.007728911594085797,0,0.007005648193314662,0.007027754640323144,0.01939610703936924
89,0.007744741883374248,SGE21,0.0060361263497979495,0,0.006783835694049365,0.007954310512099681,0.02602888557524379
90,0.008716599605965917,SGE22,0.004988093586244434,0.029918323863636364,0.006589478796582708,0.007829837702269294,0.026125262863784453
91,0.008218849012430465,SGE23,0.00594090766840341,0,0.006830403678719359,0.00741586197025006,0.024275335865876903
92,0.00799409781864676,SGE24,0.004263222143538246,0.055677957210533535,0.006415225630508776,0.00992439693446796,0.03213644480645069
93,0.007783613855775505,SGE25,0.004300458484168905,0,0.006371439945284128,0.010392130912943852,0.03398833218912008
94,0.005879972992809384,SGE26,0.00478183469496864,0,0.006596326373821176,0.01016031046625254,0.0375384547586205
95,0.008044257948362284,SGE27,0.003912191141848692,0.045916061339790155,0.005829628057209317,0.011301131529800184,0.04039387759638225
96,0.007513616209521079,SGE28,0.0037918531420944777,8.072458386477018e-6,0.0057999454888429895,0.01203083176737743,0.04700031330890184
97,0.00725805904797022,SGE29,0.0037499122154873673,3.2282797304386426e-5,0.005458427786527995,0.014460366376073213,0.05812602076074336
98,0.011297209726086572,SGE3,0.01223662506217912,0,0.009141136779993737,0.00875025762639715,0.01164728781729655
