"","Station","CameraName","Species","DateTimeOriginal","Media.Filename","CommunityName"
"98","SGE10","SGE10","Metachirus nudicaudatus","2022-08-22 02:28:00","34896cfd-21b3-4399-aa68-e99c43149e9f","Sinangoe"
"99","SGE10","SGE10","Metachirus nudicaudatus","2022-08-22 21:59:00","c5944827-7990-4046-b071-03f80cf2982c","Sinangoe"
"100","SGE10","SGE10","Metachirus nudicaudatus","2022-08-23 05:09:00","a88ff56f-4491-4104-bc3f-e603c2dd19b8","Sinangoe"
"101","SGE10","SGE10","Metachirus nudicaudatus","2022-08-24 00:50:00","16bb5daa-9576-45da-8d12-42188b2d62c2","Sinangoe"
"102","SGE10","SGE10","Metachirus nudicaudatus","2022-08-24 23:38:00","aa4f79be-0e23-49a6-bac6-45985fad217c","Sinangoe"
"103","SGE10","SGE10","Metachirus nudicaudatus","2022-08-25 19:36:00","1a7d1d31-0fdd-4474-961a-f7107530a687","Sinangoe"
"104","SGE10","SGE10","Metachirus nudicaudatus","2022-08-27 21:34:00","f1bcf3c1-169e-48da-9afe-69fd31f09e40","Sinangoe"
"105","SGE10","SGE10","Metachirus nudicaudatus","2022-08-29 01:32:00","17f598c1-74ac-4cd4-b178-22c3e1a7ef73","Sinangoe"
"106","SGE10","SGE10","Metachirus nudicaudatus","2022-09-03 03:59:00","052d7e80-22f4-496f-b045-bb8dd6281f64","Sinangoe"
"107","SGE10","SGE10","Metachirus nudicaudatus","2022-09-05 02:12:00","a12e868d-82de-420d-be29-d3c58f27e2d5","Sinangoe"
"108","SGE10","SGE10","Metachirus nudicaudatus","2022-09-06 00:01:00","f9745adb-12ba-405d-82f2-78c22e9927d3","Sinangoe"
"109","SGE10","SGE10","Metachirus nudicaudatus","2022-09-06 02:04:00","66faa0a9-fbdc-4fd9-86b1-2299b2fccca8","Sinangoe"
"110","SGE10","SGE10","Metachirus nudicaudatus","2022-09-06 04:08:00","2a138f09-8ccd-4476-8c93-b12a6f09034b","Sinangoe"
"111","SGE10","SGE10","Metachirus nudicaudatus","2022-09-07 02:39:00","523a3508-273b-48c3-9274-dc37d7e2986a","Sinangoe"
"112","SGE10","SGE10","Metachirus nudicaudatus","2022-09-08 01:07:00","fdf7bc3e-43a3-4f25-b5a1-e93db28614f6","Sinangoe"
"113","SGE10","SGE10","Metachirus nudicaudatus","2022-09-09 00:49:00","1f4e76e1-c102-47c1-9cc6-e08d2e56c99b","Sinangoe"
"114","SGE10","SGE10","Metachirus nudicaudatus","2022-09-10 19:41:00","5972dfd5-c74f-43fe-b2f2-30f71518e6af","Sinangoe"
"115","SGE10","SGE10","Metachirus nudicaudatus","2022-09-10 21:36:00","065266cf-379c-4e94-b58c-a4f77dbbfd83","Sinangoe"
"116","SGE10","SGE10","Metachirus nudicaudatus","2022-09-10 23:20:00","501bb00d-a335-425c-90c9-fa30a6885bc3","Sinangoe"
"117","SGE10","SGE10","Metachirus nudicaudatus","2022-09-16 21:05:00","77f8e0a6-bae6-45d4-8842-f3871ac7b8d8","Sinangoe"
"118","SGE10","SGE10","Metachirus nudicaudatus","2022-09-20 21:55:00","75c780c0-7951-4e2c-9bd9-c51d606363be","Sinangoe"
"119","SGE10","SGE10","Metachirus nudicaudatus","2022-09-27 00:35:00","53cfe788-051b-4a39-8d6f-9ef0a65a7e39","Sinangoe"
"120","SGE10","SGE10","Metachirus nudicaudatus","2022-09-27 21:23:00","9bb393e1-bdc7-44bb-99e8-cf181228e169","Sinangoe"
"121","SGE10","SGE10","Metachirus nudicaudatus","2022-09-28 03:44:00","8db451a3-8838-4923-8479-94ae4e95ecf2","Sinangoe"
"122","SGE10","SGE10","Metachirus nudicaudatus","2022-09-29 00:40:00","46eef252-c31f-4acf-8082-b555964175b9","Sinangoe"
"123","SGE10","SGE10","Metachirus nudicaudatus","2022-09-29 21:27:00","7f18a69f-b988-4ab2-a2ae-82d9e3fb0874","Sinangoe"
"124","SGE10","SGE10","Metachirus nudicaudatus","2022-09-29 23:15:00","2413a1d5-2731-4f63-822c-ffa21a001790","Sinangoe"
"125","SGE10","SGE10","Metachirus nudicaudatus","2022-10-11 20:06:00","a9a7e318-1d8e-4916-b1a5-97f9be9402b6","Sinangoe"
"126","SGE10","SGE10","Metachirus nudicaudatus","2022-10-13 20:21:00","853e1afd-e3e2-44fe-9965-8d84b82c5fda","Sinangoe"
"127","SGE10","SGE10","Metachirus nudicaudatus","2022-10-14 20:22:00","a0437956-2f30-448a-ac3f-8a5fcb939f4f","Sinangoe"
"128","SGE10","SGE10","Metachirus nudicaudatus","2022-10-17 01:07:00","de7ee997-f37e-4f12-84b0-496fe53baa51","Sinangoe"
"129","SGE10","SGE10","Metachirus nudicaudatus","2022-10-17 21:00:00","c60ffe70-bfd6-41a1-8fb8-76359a84d17d","Sinangoe"
"130","SGE10","SGE10","Metachirus nudicaudatus","2022-10-20 18:59:00","65786408-f1c9-496c-8e68-43d79952b61b","Sinangoe"
"131","SGE10","SGE10","Metachirus nudicaudatus","2022-10-20 20:55:00","1c16d082-c536-45bd-8bc3-b46862b9bbc9","Sinangoe"
"132","SGE10","SGE10","Metachirus nudicaudatus","2022-10-24 22:11:00","50baac06-5798-49e7-b461-52a571eae88b","Sinangoe"
"133","SGE10","SGE10","Metachirus nudicaudatus","2022-10-25 20:31:00","7f9d142b-19ce-45d2-abdf-3e2a0eca2ff5","Sinangoe"
"134","SGE10","SGE10","Metachirus nudicaudatus","2022-10-26 22:09:00","ab6a9db9-4fec-4b63-a423-2ea79e7a61f2","Sinangoe"
"135","SGE10","SGE10","Metachirus nudicaudatus","2022-10-28 23:04:00","cd11fc28-0cca-45f0-95f4-0fe184d27358","Sinangoe"
