Date,Group,Species,Count,x,y
8/8/18,Rodent,Lowland Paca,2,-75.86844947,-0.365266741
8/3/18,Cracid,Spix's Guan,1,-75.72678378,-0.33195301
8/3/18,Bird,Grey-winged Trumpeter,1,-75.72678378,-0.33195301
8/4/18,Cracid,Spix's Guan,1,-75.77744568,-0.325384105
8/5/18,Rodent,Lowland Paca,1,-75.74132562,-0.336645085
8/3/18,Bird,Grey-winged Trumpeter,2,-75.68784917,-0.327730143
8/3/18,Ungulates,White-lipped Peccary,1,-75.68784917,-0.327730143
8/7/18,Rodent,Black Agouti,1,-75.76994022,-0.384504248
8/7/18,Bird,Great Tinamou,2,-75.76994022,-0.384504248
7/29/18,Ungulates,Collared Peccary,1,-75.77322386,-0.314592333
7/14/18,Bird,Great Tinamou,1,-75.748362,-0.348375272
8/9/18,Rodent,Lowland Paca,2,-75.79104934,-0.380281381
8/7/18,Bird,Russet-backed Oropendola,2,-75.69488555,-0.347906065
8/7/18,Bird,Dove,2,-75.69488555,-0.347906065
8/6/18,Rodent,Lowland Paca,1,-75.79781384,-0.297456042
8/4/18,Rodent,Capibara,1,-75.74930018,-0.32444569
7/30/18,Ungulates,White-lipped Peccary,4,-75.80132585,-0.299635912
8/6/18,Bird,Russet-backed Oropendola,3,-75.69863828,-0.34509082
8/6/18,Bird,Dove,2,-75.69863828,-0.34509082
7/23/18,Rodent,Lowland Paca,2,-75.74414017,-0.336645085
7/23/18,Armadillo,Nine-banded Armadillo,1,-75.74414017,-0.336645085
8/6/18,Bird,Russet-backed Oropendola,3,-75.69723101,-0.348375272
7/7/18,Ungulates,White-lipped Peccary,1,-75.70661284,-0.35072131
7/20/18,Bird,Great Tinamou,2,-75.72537651,-0.347436857
7/24/18,Armadillo,Nine-banded Armadillo,1,-75.72959833,-0.334299048
7/23/18,Armadillo,Nine-banded Armadillo,1,-75.74038744,-0.302392939
7/22/18,Cracid,Salvin's Currasow,1,-75.74175592,-0.287052863
7/24/18,Rodent,Lowland Paca,1,-75.79620935,-0.321161238
7/16/18,Rodent,Lowland Paca,1,-75.75680565,-0.33946033
7/1/18,Ungulates,White-lipped Peccary,1,-75.77134749,-0.314592333
7/23/18,Ungulates,Collared Peccary,1,-75.75164564,-0.321161238
7/24/18,Ungulates,White-lipped Peccary,1,-75.74460927,-0.327260935
7/22/18,Ungulates,White-lipped Peccary,2,-75.81075119,-0.380281381
7/16/18,Ungulates,White-lipped Peccary,1,-75.70051465,-0.318815201
7/17/18,Bird,Undulated Tinamou,7,-75.66674005,-0.369489609
7/23/18,Rodent,Lowland Paca,2,-75.73851107,-0.338521915
7/23/18,Bird,Undulated Tinamou,2,-75.73851107,-0.338521915
7/23/18,Armadillo,Nine-banded Armadillo,2,-75.73851107,-0.338521915
7/19/18,Bird,Undulated Tinamou,2,-75.7492608,-0.329884277
7/21/18,Cracid,Spix's Guan,2,-75.79198753,-0.387319493
10/19/18,Primate,Howler Monkey,1,-75.69066372,-0.461923483
10/28/18,Reptile,Tortoise,1,-75.6747146,-0.348375272
10/28/18,Armadillo,Nine-banded Armadillo,1,-75.6808128,-0.351190517
10/24/18,Rodent,Lowland Paca,1,-75.692071,-0.367612779
10/10/18,Ungulates,Lowland Tapir,1,-75.85672218,-0.376527721
10/7/18,Rodent,Lowland Paca,3,-75.80230754,-0.388727116
10/7/18,Rodent,Lowland Paca,1,-75.70802011,-0.380750588
10/7/18,Cracid,Spix's Guan,1,-75.67049278,-0.342744782
9/27/18,Ungulates,White-lipped Peccary,2,-75.74601654,-0.384504248
10/8/18,Cracid,Salvin's Currasow,1,-75.69723101,-0.348375272
10/13/18,Ungulates,White-lipped Peccary,1,-75.69723101,-0.349782895
9/27/18,Ungulates,White-lipped Peccary,2,-75.73569652,-0.376996929
10/3/18,Rodent,Lowland Paca,2,-75.7708784,-0.378873759
10/5/18,Bird,Russet-backed Oropendola,7,-75.69019463,-0.352128932
10/7/18,Bird,Russet-backed Oropendola,7,-75.67174613,-0.35459677
10/17/18,Ungulates,White-lipped Peccary,2,-75.65360548,-0.519166796
10/15/18,Rodent,Capibara,2,-75.66531337,-0.395498359
10/4/18,Ungulates,Red Brocket Deer,1,-75.71974741,-0.334299048
10/8/18,Ungulates,White-lipped Peccary,1,-75.74601654,-0.32444569
10/1/18,Ungulates,Collared Peccary,1,-75.79551287,-0.298667081
10/9/18,Rodent,Lowland Paca,1,-75.73950446,-0.29112694
10/7/18,Rodent,Lowland Paca,1,-75.74229199,-0.286195162
10/16/18,Rodent,Lowland Paca,1,-75.80017537,-0.294731205
10/14/18,Ungulates,White-lipped Peccary,1,-75.77181658,-0.325853313
10/29/18,Ungulates,Lowland Tapir,1,-75.76149657,-0.376996929
10/12/18,Ungulates,White-lipped Peccary,1,-75.74132562,-0.32819935
10/17/18,Ungulates,White-lipped Peccary,1,-75.78588934,-0.291601167
10/16/18,Cracid,Spix's Guan,1,-75.7033292,-0.33007618
8/25/18,Primate,Woolly Monkey,1,-75.61936179,-0.358228629
8/25/18,Cracid,Spix's Guan,1,-75.61936179,-0.358228629
9/13/18,Rodent,Capibara,1,-75.78307479,-0.382627418
9/13/18,Rodent,Lowland Paca,2,-75.69629282,-0.383565833
9/13/18,Mammal,Kinkajou,1,-75.69629282,-0.383565833
8/23/18,Cracid,Spix's Guan,1,-75.83936579,-0.382158211
8/23/18,Bird,Toucan,2,-75.83936579,-0.382158211
8/20/18,Rodent,Lowland Paca,3,-75.86188219,-0.372304854
8/20/18,Mammal,Kinkajou,1,-75.86188219,-0.372304854
8/19/18,Rodent,Lowland Paca,5,-75.78682752,-0.384504248
8/19/18,Primate,Night Monkey,2,-75.78682752,-0.384504248
8/18/18,Cracid,Spix's Guan,1,-75.86094401,-0.365266741
10/21/18,Rodent,Lowland Paca,3,-75.8215403,-0.381689003
10/21/18,Mammal,Kinkajou,1,-75.8215403,-0.381689003
10/17/18,Ungulates,Red Brocket Deer,1,-75.6526673,-0.346498442
10/16/18,Cracid,Spix's Guan,2,-75.7202165,-0.305677391
10/24/18,Ungulates,Collared Peccary,2,-75.70004556,-0.374181684
10/28/18,Ungulates,Lowland Tapir,2,-75.90597681,-0.378404551
10/31/18,Rodent,Black Agouti,2,-75.70755102,-0.357290214
10/29/18,Rodent,Lowland Paca,2,-75.82482395,-0.378873759
10/24/18,Mammal,Coati,1,-75.77791478,-0.312715503
12/15/18,Ungulates,White-lipped Peccary,2,-75.71083466,-0.367143571
11/19/18,Bird,Duck,2,-75.70614375,-0.354944177
11/9/18,Ungulates,Lowland Tapir,2,-75.81684939,-0.381689003
11/25/18,Rodent,Capibara,2,-75.70980658,-0.33956021
11/11/18,Rodent,Lowland Paca,2,-75.71318012,-0.3375835
11/6/18,Mammal,Kinkajou,1,-75.69582373,-0.371835646
11/9/18,Armadillo,Nine-banded Armadillo,1,-75.71224194,-0.370428024
11/9/18,Rodent,Black Agouti,1,-75.71224194,-0.370428024
11/26/18,Cracid,Salvin's Currasow,1,-75.78729661,-0.285032262
