"","Station","Camera","Species","DateTimeOriginal","Date","Time"
"37",22,"22A","Psophia crepitans",2018-07-07 08:48:26,2018-07-07,"8:48:26"
"38",15,"15A","Atelocynus microtis",2018-07-07 13:38:07,2018-07-07,"13:38:07"
"39",8,"8A","Crypturellus undulatus",2018-07-07 16:27:36,2018-07-07,"16:27:36"
"40",9,"9A","Myoprocta pratti",2018-07-07 21:03:31,2018-07-07,"21:03:31"
"41",25,"25A","Cuniculus paca",2018-07-08 03:14:13,2018-07-08,"3:14:13"
"42",15,"15A","Atelocynus microtis",2018-07-08 05:24:48,2018-07-08,"5:24:48"
"43",13,"13A","Psophia crepitans",2018-07-08 06:38:55,2018-07-08,"6:38:55"
"44",24,"24B","NA NA",2018-07-08 07:21:24,2018-07-08,"7:21:24"
"45",9,"9A","Psophia crepitans",2018-07-08 08:01:15,2018-07-08,"8:01:15"
"46",11,"11B","Mazama gouazoubira",2018-07-08 08:23:00,2018-07-08,"8:23:00"
"47",19,"19B","Dicotyles tajacu",2018-07-08 08:43:00,2018-07-08,"8:43:00"
"48",21,"21A","Mazama americana",2018-07-08 10:07:28,2018-07-08,"10:07:28"
"49",12,"12A","Dicotyles tajacu",2018-07-08 15:29:46,2018-07-08,"15:29:46"
"50",13,"13A","Psophia crepitans",2018-07-08 15:42:12,2018-07-08,"15:42:12"
"51",18,"18B","Dicotyles tajacu",2018-07-08 16:10:00,2018-07-08,"16:10:00"
"52",3,"3B","Cuniculus paca",2018-07-08 19:50:18,2018-07-08,"19:50:18"
"53",11,"11A","Mazama gouazoubira",2018-07-08 20:23:13,2018-07-08,"20:23:13"
"54",3,"3B","Cuniculus paca",2018-07-08 20:38:24,2018-07-08,"20:38:24"
"55",15,"15B","Mazama gouazoubira",2018-07-08 22:31:32,2018-07-08,"22:31:32"
"56",8,"8A","Cuniculus paca",2018-07-09 02:32:09,2018-07-09,"2:32:09"
"57",2,"2B","Atelocynus microtis",2018-07-09 05:20:15,2018-07-09,"5:20:15"
"58",12,"12A","Dicotyles tajacu",2018-07-09 06:32:51,2018-07-09,"6:32:51"
"59",18,"18A","Psophia crepitans",2018-07-09 08:29:12,2018-07-09,"8:29:12"
"60",21,"21B","Psophia crepitans",2018-07-09 11:04:53,2018-07-09,"11:04:53"
"61",7,"7B","Tayassu pecari",2018-07-09 11:50:15,2018-07-09,"11:50:15"
"62",8,"8A","Dasyprocta fuliginosa",2018-07-09 12:27:51,2018-07-09,"12:27:51"
"63",15,"15B","Eira barbara",2018-07-09 13:02:30,2018-07-09,"13:02:30"
"64",7,"7B","Mitu salvini",2018-07-09 13:34:30,2018-07-09,"13:34:30"
"65",11,"11A","Atelocynus microtis",2018-07-09 15:13:05,2018-07-09,"15:13:05"
"66",16,"16A","Psophia crepitans",2018-07-09 15:27:27,2018-07-09,"15:27:27"
"67",4,"4A","Mitu salvini",2018-07-09 16:59:42,2018-07-09,"16:59:42"
"68",15,"15A","Atelocynus microtis",2018-07-09 18:39:55,2018-07-09,"18:39:55"
"69",29,"29B","Tapirus terrestris",2018-07-09 23:33:57,2018-07-09,"23:33:57"
"70",2,"2B","Cuniculus paca",2018-07-10 00:00:03,2018-07-10,"0:00:03"
"71",29,"29B","Tapirus terrestris",2018-07-10 02:40:09,2018-07-10,"2:40:09"
"72",4,"4B","Crypturellus undulatus",2018-07-10 06:52:21,2018-07-10,"6:52:21"
"73",3,"3A","Nothocrax urumutum",2018-07-10 07:10:53,2018-07-10,"7:10:53"
"74",18,"18A","Panthera onca",2018-07-10 10:21:03,2018-07-10,"10:21:03"
"75",22,"22A","Dasyprocta fuliginosa",2018-07-10 10:54:48,2018-07-10,"10:54:48"
"76",30,"30B","Tayassu pecari",2018-07-10 15:28:01,2018-07-10,"15:28:01"
"77",30,"30A","Dicotyles tajacu",2018-07-10 15:31:36,2018-07-10,"15:31:36"
"78",15,"15B","Dicotyles tajacu",2018-07-10 16:17:23,2018-07-10,"16:17:23"
"79",9,"9A","Psophia crepitans",2018-07-10 16:46:52,2018-07-10,"16:46:52"
"80",29,"29B","Tapirus terrestris",2018-07-10 17:37:57,2018-07-10,"17:37:57"
"81",4,"4B","Crypturellus undulatus",2018-07-10 17:55:52,2018-07-10,"17:55:52"
"82",25,"25A","Myoprocta pratti",2018-07-10 18:01:38,2018-07-10,"18:01:38"
"83",8,"8A","Tapirus terrestris",2018-07-10 18:51:54,2018-07-10,"18:51:54"
"84",21,"21A","Cuniculus paca",2018-07-10 19:01:46,2018-07-10,"19:01:46"
"85",30,"30A","Dasypus novemcinctus",2018-07-10 20:02:01,2018-07-10,"20:02:01"
"86",25,"25A","Cuniculus paca",2018-07-10 21:08:10,2018-07-10,"21:08:10"
"87",22,"22A","Dasypus novemcinctus",2018-07-10 23:16:42,2018-07-10,"23:16:42"
"88",8,"8A","Dasyprocta fuliginosa",2018-07-11 01:09:11,2018-07-11,"1:09:11"
"89",16,"16A","Didelphis marsupialis",2018-07-11 02:54:39,2018-07-11,"2:54:39"
"90",7,"7B","Mazama gouazoubira",2018-07-11 05:03:06,2018-07-11,"5:03:06"
"91",28,"28A","Mazama gouazoubira",2018-07-11 13:45:11,2018-07-11,"13:45:11"
"92",4,"4B","Mitu salvini",2018-07-11 14:04:45,2018-07-11,"14:04:45"
"93",17,"17A","Mazama gouazoubira",2018-07-11 16:50:00,2018-07-11,"16:50:00"
"94",8,"8A","Mazama americana",2018-07-11 18:14:12,2018-07-11,"18:14:12"
"95",18,"18A","Atelocynus microtis",2018-07-11 18:52:48,2018-07-11,"18:52:48"
"96",30,"30B","Mazama americana",2018-07-11 20:57:20,2018-07-11,"20:57:20"
"97",30,"30A","Mazama gouazoubira",2018-07-11 21:00:51,2018-07-11,"21:00:51"
"98",18,"18A","Panthera onca",2018-07-11 22:29:59,2018-07-11,"22:29:59"
"99",22,"22B","Cuniculus paca",2018-07-11 22:43:50,2018-07-11,"22:43:50"
"100",29,"29A","Cuniculus paca",2018-07-11 23:00:03,2018-07-11,"23:00:03"
"101",30,"30A","Dasypus novemcinctus",2018-07-12 00:55:56,2018-07-12,"0:55:56"
"102",2,"2B","Dasypus novemcinctus",2018-07-12 01:31:30,2018-07-12,"1:31:30"
"103",25,"25A","Myoprocta pratti",2018-07-12 07:32:29,2018-07-12,"7:32:29"
"104",3,"3B","Tayassu pecari",2018-07-12 07:59:35,2018-07-12,"7:59:35"
"105",30,"30A","Psophia crepitans",2018-07-12 11:59:05,2018-07-12,"11:59:05"
"106",16,"16A","Mazama gouazoubira",2018-07-12 12:09:14,2018-07-12,"12:09:14"
"107",18,"18A","Leucopternis melanops",2018-07-12 14:48:24,2018-07-12,"14:48:24"
"108",13,"13A","Psophia crepitans",2018-07-12 17:05:48,2018-07-12,"17:05:48"
"109",11,"11A","Myrmecophaga tridactyla",2018-07-12 17:48:11,2018-07-12,"17:48:11"
"110",4,"4B","Cuniculus paca",2018-07-12 19:46:40,2018-07-12,"19:46:40"
"111",22,"22A","Cuniculus paca",2018-07-12 21:53:26,2018-07-12,"21:53:26"
"112",8,"8A","Cuniculus paca",2018-07-13 02:21:06,2018-07-13,"2:21:06"
"113",9,"9A","Mazama americana",2018-07-13 05:04:52,2018-07-13,"5:04:52"
"114",24,"24B","NA NA",2018-07-13 10:23:27,2018-07-13,"10:23:27"
"115",30,"30A","Eira barbara",2018-07-13 11:42:12,2018-07-13,"11:42:12"
"116",13,"13A","Psophia crepitans",2018-07-13 12:16:03,2018-07-13,"12:16:03"
"117",22,"22A","Dasyprocta fuliginosa",2018-07-13 12:28:25,2018-07-13,"12:28:25"
"118",29,"29A","Tayassu pecari",2018-07-13 13:07:55,2018-07-13,"13:07:55"
"119",19,"19A","Dicotyles tajacu",2018-07-13 13:15:12,2018-07-13,"13:15:12"
"120",8,"8A","Mazama gouazoubira",2018-07-13 15:37:58,2018-07-13,"15:37:58"
"121",9,"9B","Mazama americana",2018-07-13 17:06:26,2018-07-13,"17:06:26"
"122",8,"8A","Mazama gouazoubira",2018-07-13 17:16:04,2018-07-13,"17:16:04"
"123",23,"23B","NA NA",2018-07-13 18:01:33,2018-07-13,"18:01:33"
"124",8,"8A","Atelocynus microtis",2018-07-13 19:03:02,2018-07-13,"19:03:02"
"125",23,"23B","Crypturellus undulatus",2018-07-14 06:26:22,2018-07-14,"6:26:22"
"126",18,"18A","Psophia crepitans",2018-07-14 07:29:44,2018-07-14,"7:29:44"
"127",24,"24B","Crypturellus undulatus",2018-07-14 08:16:40,2018-07-14,"8:16:40"
"128",17,"17A","Mazama gouazoubira",2018-07-14 09:57:00,2018-07-14,"9:57:00"
"129",8,"8A","Dasyprocta fuliginosa",2018-07-14 11:28:47,2018-07-14,"11:28:47"
"130",4,"4A","Mazama americana",2018-07-14 11:46:42,2018-07-14,"11:46:42"
"131",24,"24B","Dicotyles tajacu",2018-07-14 13:45:07,2018-07-14,"13:45:07"
"132",18,"18B","Tayassu pecari",2018-07-14 13:47:42,2018-07-14,"13:47:42"
"133",8,"8A","Mazama gouazoubira",2018-07-14 16:29:35,2018-07-14,"16:29:35"
"134",22,"22A","Dasyprocta fuliginosa",2018-07-14 16:43:50,2018-07-14,"16:43:50"
"135",13,"13A","Psophia crepitans",2018-07-14 17:41:08,2018-07-14,"17:41:08"
