"","Station","CameraName","Species","DateTimeOriginal","Date","Time","CommunityName"
"191","ZAB4","ZAB4A","Tapirus terrestris",2018-07-19 21:24:46,2018-07-19,"21:24:46","Zabalo"
"192","ZAB9","ZAB9A","Tapirus terrestris",2018-07-19 22:45:35,2018-07-19,"22:45:35","Zabalo"
"193","ZAB9","ZAB9A","Tapirus terrestris",2018-07-20 01:23:20,2018-07-20,"1:23:20","Zabalo"
"194","ZAB24","ZAB24A","Cuniculus paca",2018-07-20 01:55:16,2018-07-20,"1:55:16","Zabalo"
"195","ZAB9","ZAB9A","Tapirus terrestris",2018-07-20 02:59:54,2018-07-20,"2:59:54","Zabalo"
"196","ZAB13","ZAB13A","Dasyprocta fuliginosa",2018-07-20 06:33:33,2018-07-20,"6:33:33","Zabalo"
"197","ZAB12","ZAB12A","Mazama americana",2018-07-20 09:38:34,2018-07-20,"9:38:34","Zabalo"
"198","ZAB4","ZAB4B","Pecari tajacu",2018-07-20 13:32:38,2018-07-20,"13:32:38","Zabalo"
"199","ZAB11","ZAB11A","Mazama gouazoubira",2018-07-20 16:14:51,2018-07-20,"16:14:51","Zabalo"
"200","ZAB11","ZAB11A","Mazama gouazoubira",2018-07-20 17:18:03,2018-07-20,"17:18:03","Zabalo"
"201","ZAB24","ZAB24A","Mazama americana",2018-07-20 17:23:27,2018-07-20,"17:23:27","Zabalo"
"202","ZAB13","ZAB13B","Dasyprocta fuliginosa",2018-07-20 17:29:32,2018-07-20,"17:29:32","Zabalo"
"203","ZAB1","ZAB1B","Psophia crepitans",2018-07-20 17:55:05,2018-07-20,"17:55:05","Zabalo"
"204","ZAB30","ZAB30B","Pecari tajacu",2018-07-20 18:01:16,2018-07-20,"18:01:16","Zabalo"
"205","ZAB30","ZAB30B","Tayassu pecari",2018-07-20 18:07:10,2018-07-20,"18:07:10","Zabalo"
"206","ZAB8","ZAB8B","NAN NAN",2018-07-20 19:59:25,2018-07-20,"19:59:25","Zabalo"
"207","ZAB9","ZAB9B","Tapirus terrestris",2018-07-20 20:44:42,2018-07-20,"20:44:42","Zabalo"
"208","ZAB3","ZAB3B","Cuniculus paca",2018-07-21 00:30:13,2018-07-21,"0:30:13","Zabalo"
"209","ZAB4","ZAB4B","Tamandua tetradactyla",2018-07-21 03:27:37,2018-07-21,"3:27:37","Zabalo"
"210","ZAB9","ZAB9A","Tapirus terrestris",2018-07-21 03:45:29,2018-07-21,"3:45:29","Zabalo"
"211","ZAB18","ZAB18A","Mazama americana",2018-07-21 05:09:52,2018-07-21,"5:09:52","Zabalo"
"212","ZAB7","ZAB7B","Mitu salvini",2018-07-21 06:07:12,2018-07-21,"6:07:12","Zabalo"
"213","ZAB18","ZAB18A","Hadrosciurus spadiceus",2018-07-21 07:51:01,2018-07-21,"7:51:01","Zabalo"
"214","ZAB7","ZAB7A","Mitu salvini",2018-07-21 10:13:25,2018-07-21,"10:13:25","Zabalo"
"215","ZAB7","ZAB7B","Nasua nasua",2018-07-21 10:22:05,2018-07-21,"10:22:05","Zabalo"
"216","ZAB13","ZAB13A","Dasyprocta fuliginosa",2018-07-21 10:55:12,2018-07-21,"10:55:12","Zabalo"
"217","ZAB13","ZAB13A","Psophia crepitans",2018-07-21 11:08:11,2018-07-21,"11:08:11","Zabalo"
"218","ZAB13","ZAB13B","Dasyprocta fuliginosa",2018-07-21 14:41:58,2018-07-21,"14:41:58","Zabalo"
"219","ZAB7","ZAB7A","Psophia crepitans",2018-07-21 16:15:44,2018-07-21,"16:15:44","Zabalo"
"220","ZAB13","ZAB13A","Mazama gouazoubira",2018-07-21 18:07:05,2018-07-21,"18:07:05","Zabalo"
"221","ZAB25","ZAB25A","Atelocynus microtis",2018-07-21 18:58:08,2018-07-21,"18:58:08","Zabalo"
"222","ZAB25","ZAB25A","Pecari tajacu",2018-07-22 01:53:16,2018-07-22,"1:53:16","Zabalo"
"223","ZAB18","ZAB18A","Mazama gouazoubira",2018-07-22 04:14:01,2018-07-22,"4:14:01","Zabalo"
"224","ZAB2","ZAB2B","Cuniculus paca",2018-07-22 04:56:32,2018-07-22,"4:56:32","Zabalo"
"225","ZAB15","ZAB15B","Tamandua tetradactyla",2018-07-22 05:57:24,2018-07-22,"5:57:24","Zabalo"
"226","ZAB25","ZAB25A","Tayassu pecari",2018-07-22 06:20:13,2018-07-22,"6:20:13","Zabalo"
"227","ZAB25","ZAB25A","Pecari tajacu",2018-07-22 06:35:17,2018-07-22,"6:35:17","Zabalo"
"228","ZAB3","ZAB3B","Mazama gouazoubira",2018-07-22 08:42:29,2018-07-22,"8:42:29","Zabalo"
"229","ZAB2","ZAB2B","Dasyprocta fuliginosa",2018-07-22 10:13:08,2018-07-22,"10:13:08","Zabalo"
"230","ZAB4","ZAB4A","Myrmecophaga tridactyla",2018-07-22 15:32:22,2018-07-22,"15:32:22","Zabalo"
"231","ZAB4","ZAB4B","Psophia crepitans",2018-07-22 17:48:07,2018-07-22,"17:48:07","Zabalo"
"232","ZAB12","ZAB12B","Cuniculus paca",2018-07-22 21:59:00,2018-07-22,"21:59:00","Zabalo"
